acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.23,-0.13,1.05,-0.73,-0.96,-0.75
0.22,-0.13,1.03,0.2,0.53,-1.19
0.21,-0.12,1.0,-1.98,-0.05,-1.36
0.19,-0.12,1.0,-3.65,-2.47,-1.33
0.18,-0.12,1.01,-3.91,-3.07,-0.41
0.17,-0.13,1.02,-4.93,-5.18,1.36
0.2,-0.14,1.05,-5.56,-6.96,1.73
0.21,-0.14,1.06,-4.49,-5.16,2.31
0.23,-0.14,1.07,-3.3,-5.36,2.84
0.26,-0.12,1.07,-1.51,-5.74,1.19
0.26,-0.12,1.07,0.18,-4.47,-0.38
0.25,-0.11,1.05,-0.14,-4.84,-0.66
0.27,-0.11,1.04,-1.73,-6.73,-1.21
0.28,-0.11,1.05,-3.57,-6.4,-1.8
0.24,-0.12,1.09,-2.84,-2.0,-2.26
0.23,-0.13,1.11,-2.9,-3.8,-1.57
0.23,-0.14,1.13,-2.52,-5.8,-0.72
0.26,-0.14,1.16,-0.21,-4.52,0.27
0.29,-0.14,1.16,2.82,0.26,-0.75
0.28,-0.14,1.15,5.37,2.44,-2.06
0.27,-0.13,1.1,6.05,4.73,-2.49
0.25,-0.12,1.06,4.17,6.85,-3.44
0.22,-0.11,1.04,1.48,6.03,-3.39
0.2,-0.09,1.03,-0.95,5.21,-2.34
0.21,-0.1,1.03,-0.75,2.92,-2.14
0.2,-0.1,1.04,-0.27,-0.9,-2.26
0.21,-0.11,1.05,-0.52,-3.28,-2.85
0.22,-0.13,1.06,-0.85,-4.58,-2.58
0.24,-0.12,1.08,-0.4,-2.2,-2.26
0.23,-0.12,1.07,0.56,0.61,-1.85
0.2,-0.1,1.04,4.18,5.51,-2.05
0.19,-0.09,1.01,4.14,6.02,-1.48
0.18,-0.08,0.97,3.02,5.44,-1.22
0.19,-0.08,0.96,0.95,1.83,-1.34
0.18,-0.07,0.96,-0.9,-1.48,-1.28
0.21,-0.07,0.92,-2.12,-1.6,-1.07
0.19,-0.05,0.9,-5.63,-2.12,-0.96
0.2,-0.04,0.89,-9.36,-5.4,-0.61
0.21,-0.05,0.9,-11.83,-5.97,-1.83
0.21,-0.07,0.9,-13.28,-6.24,-3.05
0.2,-0.09,0.95,-12.43,-4.27,-3.13
0.21,-0.1,0.94,-9.98,0.58,-2.87
0.21,-0.11,0.92,-8.4,4.4,-2.9
0.19,-0.12,0.9,-8.56,8.72,-2.37
0.17,-0.11,0.85,-8.58,13.33,-1.39
0.12,-0.06,0.78,-12.47,10.61,0.31
0.1,-0.04,0.72,-15.15,0.78,0.87
0.11,-0.03,0.7,-20.06,-8.41,2.49
0.16,-0.03,0.69,-27.07,-13.19,4.58
0.23,-0.05,0.73,-31.71,-11.33,4.9
0.26,-0.06,0.76,-32.56,-4.78,2.63
0.25,-0.09,0.8,-31.97,-3.36,0.67
0.25,-0.12,0.84,-29.6,2.34,0.17
0.23,-0.13,0.84,-28.02,9.77,-0.26
0.16,-0.11,0.82,-27.86,9.57,-0.05
0.14,-0.09,0.8,-29.6,3.24,1.34
0.12,-0.08,0.81,-34.11,-9.39,2.95
0.17,-0.09,0.85,-36.78,-20.32,4.9
0.22,-0.11,0.91,-37.88,-23.3,5.98
0.32,-0.16,1.0,-36.81,-22.0,2.89
0.36,-0.18,1.03,-33.15,-11.74,0.78
0.35,-0.2,1.02,-29.25,4.12,-0.08
0.33,-0.21,0.96,-28.53,18.82,-0.61
0.26,-0.21,0.91,-30.18,26.58,-2.21
0.19,-0.2,0.88,-33.66,25.04,-1.94
0.13,-0.21,0.85,-38.53,19.11,-0.61
0.11,-0.21,0.89,-43.21,10.52,1.02
0.12,-0.24,0.94,-46.18,2.67,2.66
0.13,-0.27,0.97,-46.05,2.47,4.75
0.14,-0.29,1.02,-43.97,5.73,6.52
0.15,-0.31,1.03,-40.21,9.25,7.76
0.15,-0.3,1.02,-37.54,8.76,8.55
0.12,-0.28,0.96,-32.11,2.08,9.94
0.15,-0.28,0.95,-33.85,-2.87,11.18
0.17,-0.27,0.95,-35.04,-4.85,12.27
0.21,-0.29,0.97,-35.47,-3.39,12.81
0.25,-0.32,0.97,-34.34,0.29,10.9
0.26,-0.33,0.97,-34.76,4.67,7.94
0.22,-0.32,0.96,-33.74,6.18,5.62
0.19,-0.31,0.92,-31.92,6.23,5.22
0.16,-0.3,0.89,-34.69,1.18,5.16
0.15,-0.28,0.87,-35.97,-1.86,5.59
0.16,-0.29,0.86,-39.71,-9.08,6.2
0.21,-0.32,0.91,-45.59,-14.52,5.91
0.24,-0.37,0.98,-43.71,-8.0,5.68
0.23,-0.38,1.0,-41.76,2.32,6.17
0.16,-0.37,0.96,-37.05,2.93,6.47
0.17,-0.36,0.91,-37.65,-0.37,7.05
0.18,-0.35,0.93,-39.02,-3.98,6.6
0.18,-0.36,0.91,-40.21,-6.58,6.98
0.24,-0.38,0.93,-44.84,-10.27,6.37
0.24,-0.41,0.98,-44.17,-6.29,5.77
0.24,-0.44,0.98,-43.62,4.87,7.28
0.23,-0.45,0.98,-42.03,11.16,6.85
0.19,-0.45,0.96,-37.88,16.84,6.82
0.14,-0.42,0.9,-35.62,17.45,8.27
0.16,-0.41,0.86,-36.98,15.25,8.38
0.15,-0.41,0.85,-38.96,4.78,7.1
0.15,-0.43,0.89,-40.67,-4.46,5.88
0.17,-0.45,0.9,-41.4,-10.09,5.79
0.19,-0.48,0.9,-41.62,2.09,6.98
0.2,-0.49,0.88,-41.27,11.74,8.03
0.17,-0.48,0.88,-41.48,12.98,7.3
0.15,-0.47,0.87,-40.0,15.59,7.45
0.12,-0.46,0.82,-41.39,12.17,7.56
0.11,-0.47,0.82,-44.61,0.72,7.91
0.12,-0.48,0.87,-46.05,-5.4,8.93
0.16,-0.49,0.89,-46.34,-2.67,11.48
0.18,-0.5,0.92,-46.09,1.04,13.47
0.22,-0.51,0.94,-45.08,2.02,13.07
0.24,-0.53,0.97,-43.05,6.35,11.98
0.23,-0.53,0.96,-40.56,11.16,11.76
0.22,-0.53,0.92,-39.16,14.34,10.52
0.19,-0.55,0.9,-40.52,7.69,7.15
0.16,-0.56,0.87,-42.18,3.73,7.07
0.18,-0.57,0.88,-45.85,1.02,5.66
