acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.26,-0.11,0.98,2.18,-1.13,-9.92
0.23,-0.1,0.93,1.18,-0.9,-11.25
0.19,-0.08,0.93,-1.8,1.83,-10.87
0.18,-0.1,0.92,-6.14,-1.63,-9.48
0.16,-0.1,0.93,-6.82,-2.89,-8.26
0.2,-0.12,0.96,-10.29,-7.02,-3.91
0.23,-0.12,0.98,-10.73,-5.82,-2.5
0.21,-0.13,1.0,-10.82,-4.31,-2.4
0.23,-0.13,1.03,-9.71,-2.98,-2.55
0.23,-0.13,1.05,-7.77,-3.18,-3.39
0.22,-0.12,1.05,-4.72,-2.18,-4.61
0.2,-0.12,1.02,-2.66,-1.65,-5.91
0.21,-0.12,0.98,-2.21,-1.85,-5.28
0.22,-0.12,0.96,-2.73,-0.96,-4.6
0.2,-0.12,0.95,-5.56,-0.55,-4.61
0.19,-0.13,0.96,-7.28,1.83,-3.97
0.2,-0.13,0.99,-8.21,3.15,-2.27
0.23,-0.13,1.0,-8.95,-0.44,-1.8
0.24,-0.12,0.99,-7.3,5.31,-1.73
0.24,-0.13,0.98,-7.4,7.94,-2.11
0.23,-0.13,0.98,-8.67,8.05,-3.34
0.19,-0.13,0.98,-9.85,7.56,-4.49
0.19,-0.13,1.0,-9.69,3.18,-3.5
0.2,-0.13,1.02,-11.42,-1.56,-1.45
0.22,-0.13,1.05,-12.44,-3.94,-0.37
0.23,-0.14,1.07,-11.36,-4.73,-0.53
0.26,-0.13,1.08,-10.69,-2.53,-1.13
0.25,-0.13,1.1,-9.94,2.0,-3.1
0.2,-0.13,1.08,-7.76,5.97,-5.08
0.16,-0.12,1.04,-3.68,10.72,-5.6
0.14,-0.12,1.01,-1.56,12.85,-5.13
0.11,-0.19,0.99,-3.36,6.5,-3.83
0.1,-0.16,1.02,-11.71,-1.25,-1.21
0.12,-0.17,1.02,-9.54,-0.79,0.69
0.11,-0.17,1.03,-8.7,1.6,1.98
0.13,-0.17,1.03,-8.35,1.02,3.71
0.16,-0.16,1.05,-7.34,1.21,4.46
0.15,-0.15,1.04,-5.5,1.76,3.83
0.19,-0.14,1.03,-4.4,6.89,5.34
0.21,-0.14,1.04,-5.6,13.13,6.21
0.21,-0.14,1.05,-7.65,12.63,4.08
0.18,-0.13,1.02,-6.32,15.69,1.63
0.14,-0.12,0.99,-2.98,12.56,0.7
0.21,-0.15,0.94,-0.76,7.1,1.51
0.25,-0.13,0.98,-5.04,-4.06,1.07
0.26,-0.14,1.02,-7.18,-14.08,-0.63
0.25,-0.15,1.03,-6.49,-13.85,-2.49
0.2,-0.14,1.02,-5.48,-8.7,-2.55
0.19,-0.15,0.99,-8.05,3.48,0.08
0.16,-0.15,0.97,-7.69,11.71,1.19
0.16,-0.16,0.97,-6.43,13.62,3.22
0.16,-0.16,0.99,-9.79,6.31,4.26
0.14,-0.17,0.99,-14.18,-1.63,3.69
0.12,-0.17,1.04,-13.76,-3.79,4.46
0.11,-0.18,1.05,-13.4,-8.41,6.09
0.08,-0.19,1.11,-13.89,-12.93,6.52
0.07,-0.21,1.16,-13.63,-19.98,8.72
0.12,-0.22,1.19,-10.76,-18.6,12.89
0.17,-0.21,1.2,-6.08,-12.34,15.82
0.17,-0.21,1.18,-2.87,-6.92,15.56
0.14,-0.23,1.16,-2.0,-4.5,13.98
0.03,-0.21,1.08,0.73,-4.63,12.03
-0.04,-0.22,1.08,3.97,-9.07,11.92
-0.05,-0.21,1.08,3.24,-14.03,16.06
-0.01,-0.2,1.06,3.77,-21.63,20.85
-0.01,-0.2,1.07,2.63,-23.54,25.1
0.02,-0.21,1.08,3.37,-25.4,29.19
0.05,-0.22,1.11,3.27,-23.31,34.12
0.08,-0.23,1.14,4.26,-24.79,37.07
0.15,-0.25,1.16,7.79,-23.48,38.4
0.14,-0.27,1.19,11.82,-26.9,34.99
0.09,-0.31,1.2,17.33,-25.53,30.76
0.01,-0.33,1.17,25.02,-26.9,27.53
-0.03,-0.34,1.09,31.79,-32.21,28.06
-0.08,-0.23,0.92,37.16,-24.79,34.27
-0.1,-0.17,0.83,34.67,-8.84,51.76
-0.05,-0.15,0.79,37.07,-10.46,60.41
0.09,-0.12,0.81,37.15,-19.79,67.34
0.24,-0.09,0.86,31.5,-36.41,71.15
0.36,-0.08,0.92,26.82,-42.4,70.15
0.45,-0.09,0.99,24.64,-41.66,66.6
0.46,-0.1,1.01,22.11,-31.59,61.45
0.42,-0.1,1.04,19.5,-18.08,55.44
0.35,-0.12,1.05,16.14,-5.79,50.38
0.26,-0.12,1.06,15.04,3.39,46.89
0.19,-0.12,1.05,16.87,7.88,45.53
0.18,-0.11,1.02,19.48,5.79,46.63
0.24,-0.11,1.04,18.47,-2.99,48.03
0.32,-0.11,1.05,11.42,-20.49,53.27
0.36,-0.11,1.06,10.58,-14.34,53.18
0.34,-0.1,1.04,8.9,-3.3,49.5
0.29,-0.1,1.04,5.3,11.54,47.3
0.21,-0.1,1.04,2.06,21.19,45.21
0.17,-0.11,1.05,1.21,16.92,44.46
