acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.01,-0.1,1.09,-18.23,33.82,-11.68
-0.12,-0.1,1.17,-13.16,19.92,-7.8
-0.12,-0.1,1.2,-10.4,7.42,-4.76
-0.06,-0.1,1.23,-5.85,-2.98,-2.31
0.0,-0.08,1.21,-3.59,-8.84,-2.81
0.02,-0.09,1.16,-0.58,-9.8,-3.88
-0.01,-0.08,1.09,0.67,-11.16,-4.6
-0.03,-0.09,1.07,2.08,-13.45,-4.49
-0.04,-0.08,1.04,1.08,-16.34,-3.48
-0.05,-0.08,1.01,-0.2,-18.6,-2.47
-0.02,-0.07,1.0,-1.98,-15.79,-1.69
-0.02,-0.07,0.97,-5.63,-12.99,-0.44
-0.0,-0.08,1.01,-7.28,-9.28,-0.15
0.03,-0.08,1.05,-5.15,-9.19,-1.01
0.05,-0.07,1.09,-1.4,-8.02,-2.08
0.07,-0.07,1.11,2.43,-8.44,-4.66
0.06,-0.06,1.12,6.67,-6.76,-6.12
0.04,-0.05,1.05,5.65,-3.59,-6.84
0.02,-0.05,1.04,3.97,-1.62,-6.21
0.02,-0.06,1.04,3.44,0.31,-5.77
0.01,-0.05,1.0,0.5,2.23,-5.15
-0.01,-0.06,0.99,-2.9,3.19,-3.44
0.0,-0.06,1.0,-5.68,3.95,-2.78
0.01,-0.07,1.03,-5.39,3.85,-3.65
0.0,-0.07,1.08,-2.98,3.33,-3.57
-0.0,-0.07,1.1,1.28,2.27,-5.22
-0.03,-0.07,1.06,2.31,-0.93,-5.15
-0.03,-0.06,1.08,2.87,-3.76,-4.31
-0.02,-0.06,1.06,2.95,2.2,-3.24
-0.03,-0.05,1.03,0.5,2.27,-2.08
-0.0,-0.05,1.03,-3.08,2.11,-1.34
-0.02,-0.06,1.04,-3.4,-1.44,-0.89
0.0,-0.06,1.02,-5.94,-2.93,-1.11
-0.02,-0.07,1.04,-6.5,-6.26,-1.16
-0.01,-0.06,1.05,-7.47,-5.44,-1.15
-0.01,-0.05,1.08,-5.13,-4.56,-0.66
0.0,-0.05,1.09,-4.7,-3.86,-0.38
0.02,-0.05,1.09,-4.08,-4.06,-0.75
0.04,-0.05,1.09,-3.15,-2.21,-1.4
