acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.23,-0.09,1.04,-6.09,-3.91,0.41
0.23,-0.09,1.03,-5.85,-4.89,0.31
0.24,-0.1,1.02,-5.91,-1.28,0.29
0.22,-0.1,1.04,-9.77,-1.5,0.38
0.22,-0.1,1.06,-7.94,-0.87,0.38
0.21,-0.09,1.07,-6.38,1.45,1.15
0.22,-0.09,1.07,-6.09,-0.66,1.63
0.23,-0.09,1.07,-6.82,-3.16,1.83
0.24,-0.1,1.1,-5.31,-3.04,2.18
0.28,-0.1,1.09,-1.97,1.4,1.3
0.27,-0.1,1.07,0.79,4.14,-0.24
0.26,-0.1,1.02,1.47,7.01,-0.18
0.26,-0.08,0.96,-0.79,5.74,0.18
0.28,-0.07,0.94,-4.92,-1.91,-0.85
0.3,-0.08,0.95,-7.54,-2.27,-2.43
0.27,-0.07,0.97,-8.41,1.28,-2.76
0.25,-0.07,1.01,-11.02,0.81,-2.63
0.27,-0.08,1.06,-12.27,-1.48,-2.96
0.27,-0.09,1.1,-9.79,2.11,-4.08
0.25,-0.1,1.12,-1.95,7.6,-5.39
0.23,-0.09,1.08,0.24,5.27,-4.95
0.24,-0.09,1.05,0.4,2.24,-5.24
0.24,-0.09,1.01,0.02,1.44,-5.73
0.24,-0.09,0.96,-1.13,3.02,-6.52
0.22,-0.08,0.94,-3.45,3.04,-7.8
0.18,-0.09,0.91,-5.54,4.55,-8.0
0.13,-0.1,0.92,-6.82,2.95,-6.2
0.14,-0.09,0.91,-8.9,2.66,-4.6
0.11,-0.09,0.97,-9.73,-1.02,-3.05
0.13,-0.09,0.98,-9.8,-1.79,-1.02
0.16,-0.07,1.0,-10.43,-5.44,-0.44
0.18,-0.07,1.06,-10.35,-13.05,-1.5
0.2,-0.08,1.11,-7.53,-9.44,-0.93
0.22,-0.07,1.11,-5.08,-2.46,-0.9
0.26,-0.05,1.07,-5.02,1.71,-2.12
0.24,-0.05,1.06,-4.12,5.91,-3.65
0.2,-0.06,1.03,-3.97,9.47,-3.16
0.16,-0.07,1.01,-6.03,6.53,-1.82
0.14,-0.07,1.0,-8.27,2.18,0.7
0.16,-0.07,0.98,-10.11,-1.1,2.2
0.2,-0.08,0.98,-13.16,-5.04,1.68
0.19,-0.1,1.01,-14.72,-7.19,1.68
0.19,-0.1,1.07,-13.22,-3.47,2.15
0.19,-0.11,1.09,-10.85,-3.3,2.56
0.24,-0.1,1.12,-9.08,-5.53,1.97
0.25,-0.09,1.11,-7.73,-3.27,0.98
0.25,-0.1,1.14,-6.11,0.05,0.87
0.27,-0.09,1.13,-3.88,6.12,1.1
0.27,-0.1,1.12,-2.82,7.45,1.97
0.28,-0.09,1.1,-2.61,7.31,2.27
0.32,-0.1,1.09,-3.6,3.6,2.81
0.37,-0.09,1.1,-3.39,5.85,1.92
0.41,-0.09,1.13,-2.41,5.48,0.87
0.45,-0.1,1.13,-1.05,4.52,-0.08
0.49,-0.11,1.12,0.72,5.95,-0.55
0.58,-0.11,1.08,1.25,12.15,-3.11
0.65,-0.1,1.04,0.06,22.37,-8.81
0.62,-0.1,0.97,-1.95,31.86,-14.58
0.55,-0.11,0.92,-4.81,39.1,-19.65
0.48,-0.1,0.9,-9.05,30.02,-22.41
0.45,-0.09,0.86,-12.38,27.5,-23.63
0.43,-0.08,0.85,-14.95,22.61,-25.31
0.41,-0.09,0.86,-17.94,20.17,-26.06
0.43,-0.12,0.87,-20.9,18.63,-27.34
0.42,-0.13,0.93,-24.14,23.5,-34.43
0.38,-0.13,0.93,-20.69,26.61,-36.75
0.3,-0.13,0.92,-20.11,24.23,-37.59
0.25,-0.12,0.9,-20.87,15.21,-37.19
0.27,-0.12,0.83,-26.79,8.05,-35.97
0.25,-0.2,0.86,-30.95,-1.15,-37.89
0.32,-0.11,0.91,-30.05,1.4,-39.82
0.29,-0.12,0.94,-23.54,15.34,-42.37
0.23,-0.13,0.97,-23.08,13.25,-40.82
0.24,-0.17,0.99,-25.37,6.35,-38.38
0.32,-0.18,1.05,-24.73,6.14,-39.39
0.41,-0.18,1.11,-16.35,17.98,-49.5
0.36,-0.18,1.12,-13.95,18.05,-54.37
0.28,-0.18,1.14,-14.05,15.83,-55.3
0.25,-0.19,1.13,-12.82,16.67,-54.93
0.21,-0.17,1.1,-11.13,17.63,-53.68
0.16,-0.17,1.05,-9.98,15.07,-49.77
0.2,-0.17,1.04,-10.29,11.88,-46.34
0.27,-0.16,1.03,-10.87,11.6,-45.04
