acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.15,-0.17,1.04,-4.81,-2.24,0.85
0.16,-0.17,1.04,-5.19,-2.87,0.82
0.17,-0.16,1.03,-5.83,-2.46,0.53
0.17,-0.17,1.04,-5.22,-1.77,-0.38
0.15,-0.18,1.03,-4.61,-1.76,-0.52
0.15,-0.18,1.03,-4.37,-1.74,-0.23
0.14,-0.17,1.01,-4.24,-2.08,-0.09
0.14,-0.17,1.01,-5.24,-2.55,0.34
0.15,-0.17,1.01,-6.2,-1.3,0.87
0.16,-0.18,1.01,-6.56,-0.43,1.33
0.16,-0.17,1.01,-6.9,0.2,1.22
0.16,-0.17,1.0,-7.13,0.2,1.34
0.15,-0.16,1.01,-7.04,-0.84,1.04
0.17,-0.17,1.03,-5.92,-0.73,0.75
0.18,-0.17,1.02,-6.35,0.55,0.52
0.17,-0.17,1.03,-6.95,0.58,0.0
0.16,-0.17,1.02,-7.21,0.31,-0.26
0.14,-0.17,1.04,-6.61,0.89,0.47
0.14,-0.18,1.01,-6.37,1.24,1.1
0.15,-0.17,1.01,-7.07,0.34,1.66
0.14,-0.17,1.0,-6.75,-0.29,2.15
0.15,-0.17,1.0,-7.68,-1.69,2.37
0.17,-0.17,1.0,-7.57,-2.9,1.8
0.2,-0.17,1.02,-9.02,-2.49,1.51
0.19,-0.17,1.02,-9.63,-1.44,0.89
0.19,-0.18,1.02,-9.53,-0.11,0.26
0.18,-0.18,1.02,-9.86,2.24,-0.35
0.17,-0.18,1.02,-9.86,3.08,-0.52
0.14,-0.18,1.0,-9.1,3.28,-0.02
0.14,-0.18,1.02,-9.48,1.51,0.47
0.15,-0.19,1.05,-7.86,-0.26,0.23
0.17,-0.18,1.06,-8.46,-1.54,-0.26
0.17,-0.19,1.05,-9.07,-1.13,-0.03
0.17,-0.2,1.06,-9.07,-1.15,0.05
0.15,-0.21,1.07,-7.95,-2.21,-0.46
0.15,-0.21,1.07,-7.18,-1.37,-0.26
0.14,-0.21,1.06,-6.17,-1.07,0.78
0.13,-0.19,1.05,-6.93,-1.51,2.15
0.15,-0.19,1.06,-6.35,-3.13,2.46
0.16,-0.19,1.08,-5.6,-5.79,2.73
0.16,-0.19,1.11,-5.44,-9.42,2.49
0.18,-0.16,1.13,-6.0,-11.98,2.41
0.13,-0.14,1.18,-6.69,-14.64,5.33
0.14,-0.16,1.26,-9.88,-20.26,10.24
0.17,-0.2,1.4,-11.79,-37.04,12.67
0.27,-0.26,1.55,-9.88,-49.74,13.21
0.38,-0.31,1.71,-6.75,-50.82,12.17
0.49,-0.37,1.88,9.33,-32.24,9.53
0.53,-0.4,1.99,25.5,-16.84,5.42
0.62,-0.39,2.02,38.95,12.89,-1.34
0.49,-0.37,1.88,50.98,29.62,-8.66
0.37,-0.35,1.72,56.17,28.44,-14.21
0.28,-0.33,1.58,56.95,34.98,-12.29
0.17,-0.31,1.47,60.31,29.62,-11.11
0.14,-0.3,1.37,61.25,12.52,-8.73
0.14,-0.29,1.35,63.08,9.16,-6.78
0.11,-0.28,1.35,66.47,-2.18,-5.94
0.17,-0.27,1.38,72.27,-12.06,-6.31
0.24,-0.25,1.32,79.16,-13.89,-7.83
0.25,-0.23,1.22,80.99,-5.66,-8.49
0.24,-0.23,1.18,84.17,-13.98,-12.58
0.18,-0.19,1.17,80.6,-14.32,-12.84
0.24,-0.16,1.11,78.78,-7.76,-12.2
0.23,-0.14,1.09,77.8,-16.17,-14.69
0.25,-0.12,1.08,77.59,-15.42,-15.94
0.27,-0.11,1.02,81.76,-16.81,-18.92
0.26,-0.07,0.97,81.85,-15.62,-20.15
0.27,-0.04,0.98,74.99,-12.92,-22.53
0.13,-0.02,1.01,66.31,-20.87,-23.44
0.23,-0.02,0.95,71.18,-9.4,-23.44
0.19,0.01,1.01,64.7,-10.23,-23.45
0.22,-0.0,1.0,63.95,-3.45,-22.52
0.2,-0.0,1.05,55.94,-1.3,-19.42
0.28,0.0,1.05,51.47,5.98,-17.18
0.27,-0.02,1.1,46.53,5.92,-22.03
0.23,0.0,1.08,45.22,12.11,-21.69
0.2,-0.0,1.09,43.33,15.54,-21.79
0.18,0.01,1.05,42.47,18.14,-22.41
0.13,0.02,1.03,40.18,16.05,-21.56
0.13,0.04,0.99,37.48,13.16,-20.32
0.11,0.05,0.97,36.0,10.53,-18.23
0.12,0.03,0.99,35.86,3.8,-16.29
0.17,0.07,1.01,34.9,0.44,-16.38
0.21,0.06,1.0,37.42,1.8,-16.47
0.22,0.06,1.04,37.56,-0.38,-18.6
0.22,0.06,1.09,38.18,-1.24,-20.92
0.24,0.06,1.05,42.64,5.88,-22.6
0.17,0.08,0.99,51.34,8.05,-23.1
0.14,0.11,0.93,60.67,7.16,-22.08
0.13,0.13,0.89,62.99,6.26,-21.39
